Team,ML Odds,Date
CHO,-170,20160131.0
LAL,+160,20160131.0
BOS,-140,20160202.0
NYK,+120,20160202.0
MIA,+170,20160202.0
HOU,-200,20160202.0
TOR,-475,20160202.0
PHO,+380,20160202.0
MIL,+245,20160202.0
POR,-290,20160202.0
MIN,-190,20160202.0
LAL,+165,20160202.0
SAC,+260,20160207.0
BOS,-320,20160207.0
DEN,+140,20160207.0
NYK,-150,20160207.0
ATL,-140,20160207.0
ORL,+120,20160207.0
LAC,+105,20160207.0
MIA,-125,20160207.0
SAS,-260,20160209.0
MIA,+220,20160209.0
WAS,+115,20160209.0
NYK,-135,20160209.0
BOS,-175,20160209.0
MIL,+155,20160209.0
UTA,+115,20160209.0
DAL,-135,20160209.0
HOU,+1400,20160209.0
GSW,-2500,20160209.0
DET,+100,20160219.0
WAS,-120,20160219.0
DAL,-120,20160219.0
ORL,+100,20160219.0
NYK,-155,20160219.0
BRK,+145,20160219.0
PHI,+350,20160219.0
NOP,-440,20160219.0
MIA,+435,20160219.0
ATL,-500,20160219.0
IND,+365,20160219.0
OKC,-460,20160219.0
MIN,+160,20160219.0
MEM,-185,20160219.0
TOR,-225,20160219.0
CHI,+185,20160219.0
CHO,-105,20160219.0
MIL,-105,20160219.0
HOU,-350,20160219.0
PHO,+290,20160219.0
DEN,+155,20160219.0
SAC,-175,20160219.0
GSW,-425,20160219.0
POR,+340,20160219.0
SAS,-700,20160219.0
LAL,+500,20160219.0
BOS,+100,20160219.0
UTA,-120,20160219.0
GSW,-330,20160225.0
ORL,+270,20160225.0
MIL,+315,20160225.0
BOS,-380,20160225.0
OKC,-220,20160225.0
NOP,+180,20160225.0
BRK,-130,20160225.0
PHO,+110,20160225.0
HOU,+165,20160225.0
POR,-190,20160225.0
SAS,-155,20160225.0
UTA,+135,20160225.0
MIA,+185,20160227.0
BOS,-225,20160227.0
MIN,+170,20160227.0
NOP,-200,20160227.0
SAS,-225,20160227.0
HOU,+185,20160227.0
POR,-150,20160227.0
CHI,+130,20160227.0
DET,+115,20160227.0
MIL,-135,20160227.0
GSW,-150,20160227.0
OKC,+130,20160227.0
BRK,+600,20160227.0
UTA,-900,20160227.0
MEM,-265,20160227.0
PHO,+225,20160227.0
CHI,+135,20160302.0
ORL,-155,20160302.0
CHO,-400,20160302.0
PHI,+325,20160302.0
POR,+175,20160302.0
BOS,-210,20160302.0
UTA,+180,20160302.0
TOR,-220,20160302.0
SAC,+170,20160302.0
MEM,-210,20160302.0
NOP,+190,20160302.0
HOU,-210,20160302.0
WAS,-165,20160302.0
MIN,+145,20160302.0
IND,-130,20160302.0
MIL,+110,20160302.0
