Team, Location,Game Number,Team Points,Opp Points,Result,Date,Opponent,EFG%,TOV%,ORB%,FTR,Pace,OEff,DEff
MIN,1,10,115,99,1,20141119,NYK,0.556,0.124,0.375,0.18,92.6,124.2,106.9
MIN,1,11,92,121,0,20141121,SAS,0.433,0.099,0.22,0.156,96.6,95.3,125.3
MIN,1,12,101,113,0,20141122,SAC,0.444,0.08900000000000001,0.294,0.233,94.0,107.4,120.2
MIN,1,13,86,103,0,20141126,MIL,0.401,0.165,0.318,0.259,94.6,90.9,108.8
MIN,0,14,120,119,1,20141128,LAL,0.633,0.16699999999999998,0.207,0.253,98.3,122.0,121.0
MIN,0,15,93,107,0,20141130,POR,0.444,0.124,0.22,0.144,99.0,94.0,108.1
MIN,0,16,101,127,0,20141201,LAC,0.439,0.091,0.128,0.354,99.6,101.4,127.5
MIN,1,17,77,85,0,20141203,PHI,0.375,0.16399999999999998,0.23399999999999999,0.167,96.0,80.2,88.6
MIN,1,18,112,114,0,20141205,HOU,0.479,0.114,0.28600000000000003,0.196,95.1,106.7,108.6
MIN,0,19,101,123,0,20141206,SAS,0.458,0.076,0.18600000000000003,0.301,96.6,104.6,127.4
MIN,1,20,86,102,0,20141208,GSW,0.375,0.159,0.33299999999999996,0.227,97.6,88.1,104.5
MIN,1,21,90,82,1,20141210,POR,0.401,0.159,0.426,0.309,91.2,98.7,89.9
MIN,1,22,92,111,0,20141212,OKC,0.468,0.142,0.225,0.244,94.1,97.8,118.0
MIN,1,23,94,100,0,20141214,LAL,0.439,0.124,0.292,0.167,94.3,99.7,106.1
MIN,0,24,95,109,0,20141216,WAS,0.463,0.085,0.23399999999999999,0.247,92.2,103.0,118.2
MIN,0,25,98,114,0,20141219,BOS,0.484,0.115,0.326,0.086,92.1,106.4,123.8
MIN,1,26,96,100,0,20141221,IND,0.5,0.154,0.243,0.247,93.0,103.2,107.5
MIN,0,27,104,125,0,20141223,CLE,0.466,0.152,0.381,0.25,98.4,105.7,127.1
MIN,0,28,102,106,0,20141226,DEN,0.413,0.057999999999999996,0.259,0.165,101.4,100.6,104.5
MIN,0,29,97,110,0,20141227,GSW,0.494,0.205,0.27699999999999997,0.273,102.3,94.8,107.6
MIN,0,30,94,100,0,20141230,UTA,0.512,0.102,0.2,0.122,88.0,106.9,113.7
MIN,1,31,107,110,0,20150101,SAC,0.5,0.122,0.319,0.176,95.8,111.7,114.8
MIN,1,32,89,101,0,20150103,UTA,0.43,0.078,0.28,0.174,84.1,105.8,120.1
